image,engine,CER,WER,CER_sym,SIM,items_precision,items_recall,items_f1,items_ref,items_hyp,items_match
processed_TAHSet.png,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,34,0,0
processed_TAHSet.png,tesseract,0.7706214689265537,0.9754601226993865,0.9069148936170213,0.2293785310734463,0.0,0.0,0.0,34,28,0
processed_TAHSet.png,our_method,0.7706214689265537,0.9754601226993865,0.9069148936170213,0.2293785310734463,0.0,0.0,0.0,34,28,0
processed_basicHandWritten.jpeg,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,24,0,0
processed_basicHandWritten.jpeg,tesseract,0.8673835125448028,0.981651376146789,1.4426229508196722,0.13261648745519716,0.0,0.0,0.0,24,5,0
processed_basicHandWritten.jpeg,our_method,0.8673835125448028,0.981651376146789,1.4426229508196722,0.13261648745519716,0.0,0.0,0.0,24,5,0
processed_basicSet.png,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,24,0,0
processed_basicSet.png,tesseract,0.8288288288288288,1.0,1.2483039348710991,0.1711711711711712,0.0,0.0,0.0,24,10,0
processed_basicSet.png,our_method,0.8288288288288288,1.0,1.2483039348710991,0.1711711711711712,0.0,0.0,0.0,24,10,0
processed_boardOC.jpeg,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_boardOC.jpeg,tesseract,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_boardOC.jpeg,our_method,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_boardTAH.jpg,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_boardTAH.jpg,tesseract,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_boardTAH.jpg,our_method,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6,0,0
processed_setTAHHandWritten.jpg,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,32,0,0
processed_setTAHHandWritten.jpg,tesseract,0.8961892247043364,1.0,1.498901098901099,0.10381077529566363,0.0,0.0,0.0,32,9,0
processed_setTAHHandWritten.jpg,our_method,0.8961892247043364,1.0,1.498901098901099,0.10381077529566363,0.0,0.0,0.0,32,9,0
processed_setTR.png,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,21,0,0
processed_setTR.png,tesseract,0.54375,0.7666666666666667,0.5673913043478261,0.45625000000000004,0.058823529411764705,0.047619047619047616,0.05263157894736842,21,17,1
processed_setTR.png,our_method,0.54375,0.7666666666666667,0.5673913043478261,0.45625000000000004,0.058823529411764705,0.047619047619047616,0.05263157894736842,21,17,1
processed_thyroidSet.png,typhoon,1.0,1.0,2.0,0.0,0.0,0.0,0.0,23,0,0
processed_thyroidSet.png,tesseract,0.5564784053156147,0.8173913043478261,0.625,0.44352159468438535,0.0,0.0,0.0,23,25,0
processed_thyroidSet.png,our_method,0.5564784053156147,0.8173913043478261,0.625,0.44352159468438535,0.0,0.0,0.0,23,25,0
